,Parcel ID,Address,sale_date,year,month,year-month,sale_price,yr_built,square_feet,price_sf,GEOID,Sub_geo,geometry
1911,9241820048,2125 CHESTNUT LOG DR,8/5/19,2019,8,2019-8,50000,1973,1032,48.4496124,13097080602,South Douglas,POINT (-84.6454805 33.7476373)
1919,1500150005,3075 CHERRY TREE WALK,8/2/19,2019,8,2019-8,279000,1999,2417,115.4323542,13097080602,South Douglas,POINT (-84.6556366 33.7208464)
1926,1600150003,3784 KING DR,4/30/21,2021,4,2021-4,290000,1945,2231,129.9865531,13097080602,South Douglas,POINT (-84.6374688 33.7018372)
1927,1550150080,3256 BAKEWELL ST,4/23/21,2021,4,2021-4,289000,2005,1835,157.493188,13097080602,South Douglas,POINT (-84.646298 33.712714)
1929,1300150098,2421 LEGACY VILLAGE DR,4/8/21,2021,4,2021-4,291862,2020,2036,143.3506876,13097080602,South Douglas,POINT (-84.6739982 33.7392126)
1931,1300150101,2461 LEGACY VILLAGE DR,4/14/21,2021,4,2021-4,321470,2020,2572,124.9883359,13097080602,South Douglas,POINT (-84.6739982 33.7392126)
1940,1300150103,2481 LEGACY VILLAGE DR,4/19/21,2021,4,2021-4,329178,2020,2507,131.3035501,13097080602,South Douglas,POINT (-84.6739982 33.7392126)
1943,1570150150,3769 KING DR,4/16/21,2021,4,2021-4,315000,1972,2307,136.5409623,13097080602,South Douglas,POINT (-84.6391276 33.7020984)
1994,1490150168,2434 MIDDLEBERRY CLOISTER,4/30/21,2021,4,2021-4,354000,2004,3232,109.529703,13097080602,South Douglas,POINT (-84.6548397 33.7164361)
2007,1550150068,3300 DEVONSHIRE ST,4/30/21,2021,4,2021-4,390000,2005,2947,132.3379708,13097080602,South Douglas,POINT (-84.6465636 33.7145325)
2008,1490150186,3321 NOOR WAY,4/30/21,2021,4,2021-4,412000,2005,3185,129.3563579,13097080602,South Douglas,POINT (-84.6552484 33.7152345)
2009,1500150014,2435 WASHINGTON DR,4/30/21,2021,4,2021-4,215000,1998,2144,100.2798507,13097080602,South Douglas,POINT (-84.6544719 33.7214274)
2025,1300150106,2500 LEGACY VILLAGE DR,4/28/21,2021,4,2021-4,298490,2020,1990,149.9949749,13097080602,South Douglas,POINT (-84.6739982 33.7392126)
2028,10111820034,2918 LEGACY PARK DR,4/28/21,2021,4,2021-4,296878,2020,1878,158.0820021,13097080602,South Douglas,POINT (-84.6737304 33.7396816)
2045,10111820029,2968 LEGACY PARK DR,4/26/21,2021,4,2021-4,312005,2020,2437,128.0283135,13097080602,South Douglas,POINT (-84.6729611 33.7392692)
2058,9231820020,2182 CHESTNUT LOG LOOP,4/23/21,2021,4,2021-4,145000,1974,1100,131.8181818,13097080602,South Douglas,POINT (-84.6489853 33.7484746)
2059,9581820010,2159 CHESTNUT PL,4/23/21,2021,4,2021-4,220000,1973,1600,137.5,13097080602,South Douglas,POINT (-84.6448265 33.746042)
2067,10111820032,2938 LEGACY PARK DR,4/23/21,2021,4,2021-4,281703,2020,1887,149.2861685,13097080602,South Douglas,POINT (-84.6737304 33.7396816)
2068,10111820038,2878 LEGACY PARK DR,4/22/21,2021,4,2021-4,258895,2020,1760,147.0994318,13097080602,South Douglas,POINT (-84.6737304 33.7396816)
2071,10111820035,2908 LEGACY PARK DR,4/22/21,2021,4,2021-4,292437,2020,1995,146.5849624,13097080602,South Douglas,POINT (-84.6737304 33.7396816)
2074,1300150102,2471 LEGACY VILLAGE DR,4/21/21,2021,4,2021-4,313282,2020,1878,166.8168264,13097080602,South Douglas,POINT (-84.6739982 33.7392126)
2078,10111820036,2898 LEGACY PARK DR,4/21/21,2021,4,2021-4,306020,2020,2400,127.5083333,13097080602,South Douglas,POINT (-84.6737304 33.7396816)
2081,10111820037,2888 LEGACY PARK DR,4/21/21,2021,4,2021-4,317540,2020,2621,121.152232,13097080602,South Douglas,POINT (-84.6737304 33.7396816)
2127,1300150099,2431 LEGACY VILLAGE DR,4/14/21,2021,4,2021-4,331890,2020,2524,131.4936609,13097080602,South Douglas,POINT (-84.6725374 33.7365722)
2128,9211820026,2082 CHESTNUT START DR,4/14/21,2021,4,2021-4,90000,1975,1176,76.53061224,13097080602,South Douglas,POINT (-84.6562291 33.748494)
2141,1550150395,3220 ANCOATS ST,3/23/21,2021,3,2021-3,400957,2020,3118,128.5942912,13097080602,South Douglas,POINT (-84.64203802 33.71703027)
2165,1500150109,2135 WASHINGTON DR,4/9/21,2021,4,2021-4,420000,2002,3075,136.5853659,13097080602,South Douglas,POINT (-84.6498946 33.7183559)
2200,1490150107,2367 WILSHIRE WAY,4/5/21,2021,4,2021-4,340000,2003,2438,139.4585726,13097080602,South Douglas,POINT (-84.6557387 33.712469)
2202,8901820052,1951 BRENNAN WAY,4/5/21,2021,4,2021-4,187000,1980,1608,116.2935323,13097080602,South Douglas,POINT (-84.6527146 33.7516936)
2213,1560150115,3521 PROVIDENCE PL,4/1/21,2021,4,2021-4,433000,2019,4041,107.1516951,13097080602,South Douglas,POINT (-84.6460527 33.7078264)
2214,9221820050,8571 CHESTNUT LOG LN,4/1/21,2021,4,2021-4,213000,1972,1610,132.2981366,13097080602,South Douglas,POINT (-84.655371 33.7471946)
2221,9601820039,2176 N MANOR DR,7/22/20,2020,7,2020-7,179500,1982,1264,142.0094937,13097080602,South Douglas,POINT (-84.6525102 33.7458522)
2238,1550150470,9968 ASHTON OLD RD,8/20/20,2020,8,2020-8,237000,2007,2196,107.9234973,13097080602,South Douglas,POINT (-84.6389701 33.7123049)
2277,1560150115,3521 PROVIDENCE PL,7/16/20,2020,7,2020-7,362950,2019,4041,89.81687701,13097080602,South Douglas,POINT (-84.6460527 33.7078264)
2279,1570150015,3906 VALLEY RD,8/28/20,2020,8,2020-8,71500,1956,1452,49.24242424,13097080602,South Douglas,POINT (-84.6467475 33.698276)
2288,10111820017,8857 OLD LEE RD,8/28/20,2020,8,2020-8,62000,1987,1104,56.15942029,13097080602,South Douglas,POINT (-84.6732832 33.7399957)
2290,9571820005,2199 MT VERNON RD,7/31/20,2020,7,2020-7,112000,1956,1257,89.10103421,13097080602,South Douglas,POINT (-84.6428646 33.745043)
2306,1550150113,9911 W MANCUNIAN WAY,8/31/20,2020,8,2020-8,235000,2005,1942,121.0092688,13097080602,South Douglas,POINT (-84.6418517 33.7120462)
2416,1500150079,3091 GEORGE PL,8/14/20,2020,8,2020-8,310000,2000,2640,117.4242424,13097080602,South Douglas,POINT (-84.6507325 33.7199378)
2423,9611820021,8601 CHESTNUT LN,8/12/20,2020,8,2020-8,143000,1971,1408,101.5625,13097080602,South Douglas,POINT (-84.6599478 33.7455206)
2431,8501820010,2140 CEDAR TERRACE RD,8/10/20,2020,8,2020-8,101000,1973,2979,33.90399463,13097080602,South Douglas,POINT (-84.6455214 33.7572146)
2456,1500150119,3170 MARTHA CT,8/5/20,2020,8,2020-8,357000,2002,2884,123.7864078,13097080602,South Douglas,POINT (-84.6487911 33.7190483)
2502,9251820013,2114 W LOTUS POINT DR,7/30/20,2020,7,2020-7,200000,1990,1456,137.3626374,13097080602,South Douglas,POINT (-84.6424967 33.7494233)
2508,1550150208,3263 FOUNDERS WAY,7/28/20,2020,7,2020-7,230000,2005,1860,123.655914,13097080602,South Douglas,POINT (-84.6421315 33.7111813)
2510,1550150172,3109 CUNNINGHAM LN,7/28/20,2020,7,2020-7,258000,2007,1980,130.3030303,13097080602,South Douglas,POINT (-84.64074 33.7122563)
2522,1550150237,3238 BLACKLEY OLD RD,7/24/20,2020,7,2020-7,384000,2018,3738,102.7287319,13097080602,South Douglas,POINT (-84.6442952 33.7154141)
2566,1490150122,2362 WILSHIRE WAY,7/17/20,2020,7,2020-7,330000,2002,3010,109.6345515,13097080602,South Douglas,POINT (-84.6551258 33.7125296)
2596,1550150111,9915 W MANCUNIAN WAY,7/10/20,2020,7,2020-7,239900,2005,1649,145.4821104,13097080602,South Douglas,POINT (-84.6418783 33.711865)
2626,1550150192,9907 ARDWICK GREEN WAY,7/2/20,2020,7,2020-7,360000,2005,2948,122.1166893,13097080602,South Douglas,POINT (-84.6444587 33.7121119)
2646,1550150292,3210 BRANTINGHAM RD,5/3/21,2021,5,2021-5,450000,2007,3435,131.0043668,13097080602,South Douglas,POINT (-84.6432733 33.7142377)
2682,1550150316,3186 ASHTON OLD RD,5/13/21,2021,5,2021-5,330000,2006,2145,153.8461538,13097080602,South Douglas,POINT (-84.6405346 33.713945)
2718,10081820034,8956 CLOVER LN,5/28/21,2021,5,2021-5,198000,1971,1418,139.6332863,13097080602,South Douglas,POINT (-84.6584767 33.737491)
2741,10111820027,2988 LEGACY PARK DR,5/26/21,2021,5,2021-5,314152,2020,1990,157.8653266,13097080602,South Douglas,POINT (-84.6732675 33.7393477)
